Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Payment Method,Shipping Type,Previous Purchases,Preferred Payment Method,Frequency of Purchases,Customer Segmentation,Seasonal Trends,Delivery Time,Number of Items Purchased
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Credit Card,Express,14,Venmo,Fortnightly,VIP,Christmas present,14,2
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Bank Transfer,Express,2,Cash,Fortnightly,VIP,Christmas present,20,4
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Cash,Free Shipping,23,Credit Card,Weekly,VIP,Summer preperation,20,2
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,PayPal,Next Day Air,49,PayPal,Weekly,New,Christmas present,7,1
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Cash,Free Shipping,31,PayPal,Annually,Loyal,Pre-fall shopping,18,7
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Venmo,Standard,14,Venmo,Weekly,Loyal,Summer preperation,21,2
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Debit Card,Free Shipping,49,Cash,Quarterly,Loyal,Pre-fall shopping,25,3
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Debit Card,Free Shipping,19,Credit Card,Weekly,New,Christmas present,27,2
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Venmo,Express,8,Venmo,Annually,Loyal,Pre-fall shopping,6,3
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,PayPal,2-Day Shipping,4,Cash,Quarterly,Loyal,Christmas present,21,6
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Credit Card,Store Pickup,26,Bank Transfer,Bi-Weekly,Loyal,Back to school,28,8
